Date,Open,High,Low,Close,Volume
2021-11-15,3129.3485615298887,3166.2479962691427,3129.3485615298887,3151.789794921875,1809157
2021-11-16,3165.7151478676415,3171.525063472704,3141.7660559672695,3154.538818359375,2013204
2021-11-17,3149.3946733666758,3160.260466102447,3110.188945926167,3123.9375,1632914
2021-11-18,3117.9504993315195,3123.0065929021084,3061.5815959383253,3082.958251953125,2136598
2021-11-22,3085.35310837777,3118.6601354949016,3051.5584025436406,3067.613037109375,3167936
2021-11-23,3055.7271838719826,3087.614917705007,3022.730695618105,3072.802001953125,2153461
2021-11-24,3079.853553174247,3098.347663033605,3037.100027177156,3054.21923828125,2161746
2021-11-25,3054.7513835573277,3071.693237675039,3046.0145286811985,3056.525390625,1849619
2021-11-26,3037.9870505637437,3095.6422792605736,3026.3672178510988,3057.3681640625,1941251
2021-11-29,3057.6343867946935,3130.5462562837033,3021.5333834239445,3106.28662109375,2981745
2021-11-30,3096.5290687949237,3161.0585703001743,3096.5290687949237,3130.3681640625,5588446
2021-12-01,3135.5574462309587,3184.3426398781166,3135.5574462309587,3173.521240234375,2102118
2021-12-02,3183.633089526473,3235.7889414326537,3170.2394658907515,3231.26513671875,3152938
2021-12-03,3234.4135732472982,3251.710139914298,3220.5764498458398,3229.091552734375,2486263
2021-12-06,3229.092080530519,3244.6590363859564,3124.02655170895,3136.79931640625,1849642
2021-12-07,3159.95027656784,3191.4389038852173,3126.0667828778905,3179.46435546875,1484458
2021-12-08,3194.099693371914,3234.4139602705127,3194.099693371914,3217.072998046875,1428660
2021-12-09,3202.0829162364653,3224.0362547896098,3163.0547588086524,3194.76513671875,1567957
2021-12-10,3179.907665866492,3230.46686724847,3171.126417511061,3225.8544921875,1510718
2021-12-13,3237.562895980731,3248.2069383784756,3194.7205820190884,3201.772216796875,1883864
2021-12-14,3197.6475335147647,3224.2576378158583,3172.5452918133496,3214.3232421875,1747007
2021-12-15,3210.9529713650445,3213.6139821147945,3156.0917131195874,3166.913330078125,1603233
2021-12-16,3177.246316316427,3200.707513951153,3166.6022750557354,3176.8916015625,2072320
2021-12-17,3195.4298360766725,3238.760039975643,3169.8840941458316,3179.330810546875,4333992
